DriverID,Year,Tracks,Team,Ranking,LapTime
1,2014,Monza,Mercedes,10,82.67
2,2014,Monza,Mercedes,2,78.67
3,2014,Monza,Red Bull,7,81.17
4,2014,Monza,Red Bull,6,80.67
5,2014,Monza,Ferrari,5,80.17
6,2014,Monza,Ferrari,14,84.67
7,2014,Monza,Aston Martin,13,84.17
8,2014,Monza,Aston Martin,21,88.17
9,2014,Monza,McLaren,3,79.17
10,2014,Monza,McLaren,4,79.67
11,2014,Monza,Alpine,18,86.67
12,2014,Monza,Alpine,16,85.67
13,2014,Monza,Alfa Romeo,1,78.17
14,2014,Monza,Alfa Romeo,20,87.67
15,2014,Monza,Haas,15,85.17
16,2014,Monza,Haas,17,86.17
17,2014,Monza,AlphaTauri,19,87.17
18,2014,Monza,AlphaTauri,22,88.67
19,2014,Monza,Williams,11,83.17
20,2014,Monza,Williams,12,83.67
21,2014,Monza,AlphaTauri,8,81.67
22,2014,Monza,Haas,9,82.17
1,2014,Silverstone,Mercedes,18,74.95
2,2014,Silverstone,Mercedes,20,75.95
3,2014,Silverstone,Red Bull,17,74.45
4,2014,Silverstone,Red Bull,19,75.45
5,2014,Silverstone,Ferrari,15,73.45
6,2014,Silverstone,Ferrari,3,67.45
7,2014,Silverstone,Aston Martin,12,71.95
8,2014,Silverstone,Aston Martin,13,72.45
9,2014,Silverstone,McLaren,9,70.45
10,2014,Silverstone,McLaren,2,66.95
11,2014,Silverstone,Alpine,7,69.45
12,2014,Silverstone,Alpine,21,76.45
13,2014,Silverstone,Alfa Romeo,22,76.95
14,2014,Silverstone,Alfa Romeo,10,70.95
15,2014,Silverstone,Haas,14,72.95
16,2014,Silverstone,Haas,11,71.45
17,2014,Silverstone,AlphaTauri,6,68.95
18,2014,Silverstone,AlphaTauri,5,68.45
19,2014,Silverstone,Williams,8,69.95
20,2014,Silverstone,Williams,4,67.95
21,2014,Silverstone,AlphaTauri,16,73.95
22,2014,Silverstone,Haas,1,66.45
1,2014,Spa-Francorchamps,Mercedes,7,70.65
2,2014,Spa-Francorchamps,Mercedes,2,68.15
3,2014,Spa-Francorchamps,Red Bull,3,68.65
4,2014,Spa-Francorchamps,Red Bull,14,74.15
5,2014,Spa-Francorchamps,Ferrari,1,67.65
6,2014,Spa-Francorchamps,Ferrari,12,73.15
7,2014,Spa-Francorchamps,Aston Martin,20,77.15
8,2014,Spa-Francorchamps,Aston Martin,18,76.15
9,2014,Spa-Francorchamps,McLaren,19,76.65
10,2014,Spa-Francorchamps,McLaren,10,72.15
11,2014,Spa-Francorchamps,Alpine,9,71.65
12,2014,Spa-Francorchamps,Alpine,22,78.15
13,2014,Spa-Francorchamps,Alfa Romeo,5,69.65
14,2014,Spa-Francorchamps,Alfa Romeo,15,74.65
15,2014,Spa-Francorchamps,Haas,13,73.65
16,2014,Spa-Francorchamps,Haas,17,75.65
17,2014,Spa-Francorchamps,AlphaTauri,21,77.65
18,2014,Spa-Francorchamps,AlphaTauri,6,70.15
19,2014,Spa-Francorchamps,Williams,16,75.15
20,2014,Spa-Francorchamps,Williams,8,71.15
21,2014,Spa-Francorchamps,AlphaTauri,4,69.15
22,2014,Spa-Francorchamps,Haas,11,72.65
1,2014,Suzuka,Mercedes,9,75.03
2,2014,Suzuka,Mercedes,14,77.53
3,2014,Suzuka,Red Bull,16,78.53
4,2014,Suzuka,Red Bull,13,77.03
5,2014,Suzuka,Ferrari,7,74.03
6,2014,Suzuka,Ferrari,12,76.53
7,2014,Suzuka,Aston Martin,21,81.03
8,2014,Suzuka,Aston Martin,17,79.03
9,2014,Suzuka,McLaren,22,81.53
10,2014,Suzuka,McLaren,20,80.53
11,2014,Suzuka,Alpine,1,71.03
12,2014,Suzuka,Alpine,15,78.03
13,2014,Suzuka,Alfa Romeo,2,71.53
14,2014,Suzuka,Alfa Romeo,10,75.53
15,2014,Suzuka,Haas,5,73.03
16,2014,Suzuka,Haas,11,76.03
17,2014,Suzuka,AlphaTauri,19,80.03
18,2014,Suzuka,AlphaTauri,4,72.53
19,2014,Suzuka,Williams,8,74.53
20,2014,Suzuka,Williams,3,72.03
21,2014,Suzuka,AlphaTauri,6,73.53
22,2014,Suzuka,Haas,18,79.53
1,2014,Monaco,Mercedes,9,64.38
2,2014,Monaco,Mercedes,3,61.38
3,2014,Monaco,Red Bull,1,60.38
4,2014,Monaco,Red Bull,19,69.38
5,2014,Monaco,Ferrari,13,66.38
6,2014,Monaco,Ferrari,7,63.38
7,2014,Monaco,Aston Martin,10,64.88
8,2014,Monaco,Aston Martin,4,61.88
9,2014,Monaco,McLaren,17,68.38
10,2014,Monaco,McLaren,12,65.88
11,2014,Monaco,Alpine,8,63.88
12,2014,Monaco,Alpine,21,70.38
13,2014,Monaco,Alfa Romeo,20,69.88
14,2014,Monaco,Alfa Romeo,2,60.88
15,2014,Monaco,Haas,14,66.88
16,2014,Monaco,Haas,6,62.88
17,2014,Monaco,AlphaTauri,22,70.88
18,2014,Monaco,AlphaTauri,16,67.88
19,2014,Monaco,Williams,15,67.38
20,2014,Monaco,Williams,11,65.38
21,2014,Monaco,AlphaTauri,18,68.88
22,2014,Monaco,Haas,5,62.38
1,2014,Circuit de Catalunya,Mercedes,4,68.37
2,2014,Circuit de Catalunya,Mercedes,19,75.87
3,2014,Circuit de Catalunya,Red Bull,22,77.37
4,2014,Circuit de Catalunya,Red Bull,11,71.87
5,2014,Circuit de Catalunya,Ferrari,10,71.37
6,2014,Circuit de Catalunya,Ferrari,3,67.87
7,2014,Circuit de Catalunya,Aston Martin,9,70.87
8,2014,Circuit de Catalunya,Aston Martin,12,72.37
9,2014,Circuit de Catalunya,McLaren,7,69.87
10,2014,Circuit de Catalunya,McLaren,20,76.37
11,2014,Circuit de Catalunya,Alpine,1,66.87
12,2014,Circuit de Catalunya,Alpine,5,68.87
13,2014,Circuit de Catalunya,Alfa Romeo,2,67.37
14,2014,Circuit de Catalunya,Alfa Romeo,15,73.87
15,2014,Circuit de Catalunya,Haas,14,73.37
16,2014,Circuit de Catalunya,Haas,6,69.37
17,2014,Circuit de Catalunya,AlphaTauri,18,75.37
18,2014,Circuit de Catalunya,AlphaTauri,16,74.37
19,2014,Circuit de Catalunya,Williams,21,76.87
20,2014,Circuit de Catalunya,Williams,17,74.87
21,2014,Circuit de Catalunya,AlphaTauri,13,72.87
22,2014,Circuit de Catalunya,Haas,8,70.37
1,2014,Hungaroring,Mercedes,6,74.75
2,2014,Hungaroring,Mercedes,15,79.25
3,2014,Hungaroring,Red Bull,13,78.25
4,2014,Hungaroring,Red Bull,16,79.75
5,2014,Hungaroring,Ferrari,18,80.75
6,2014,Hungaroring,Ferrari,14,78.75
7,2014,Hungaroring,Aston Martin,17,80.25
8,2014,Hungaroring,Aston Martin,2,72.75
9,2014,Hungaroring,McLaren,8,75.75
10,2014,Hungaroring,McLaren,7,75.25
11,2014,Hungaroring,Alpine,19,81.25
12,2014,Hungaroring,Alpine,5,74.25
13,2014,Hungaroring,Alfa Romeo,10,76.75
14,2014,Hungaroring,Alfa Romeo,12,77.75
15,2014,Hungaroring,Haas,22,82.75
16,2014,Hungaroring,Haas,3,73.25
17,2014,Hungaroring,AlphaTauri,20,81.75
18,2014,Hungaroring,AlphaTauri,21,82.25
19,2014,Hungaroring,Williams,11,77.25
20,2014,Hungaroring,Williams,1,72.25
21,2014,Hungaroring,AlphaTauri,9,76.25
22,2014,Hungaroring,Haas,4,73.75
1,2014,Interlagos,Mercedes,13,73.85
2,2014,Interlagos,Mercedes,20,77.35
3,2014,Interlagos,Red Bull,2,68.35
4,2014,Interlagos,Red Bull,14,74.35
5,2014,Interlagos,Ferrari,19,76.85
6,2014,Interlagos,Ferrari,8,71.35
7,2014,Interlagos,Aston Martin,17,75.85
8,2014,Interlagos,Aston Martin,7,70.85
9,2014,Interlagos,McLaren,1,67.85
10,2014,Interlagos,McLaren,5,69.85
11,2014,Interlagos,Alpine,16,75.35
12,2014,Interlagos,Alpine,22,78.35
13,2014,Interlagos,Alfa Romeo,3,68.85
14,2014,Interlagos,Alfa Romeo,6,70.35
15,2014,Interlagos,Haas,10,72.35
16,2014,Interlagos,Haas,18,76.35
17,2014,Interlagos,AlphaTauri,15,74.85
18,2014,Interlagos,AlphaTauri,21,77.85
19,2014,Interlagos,Williams,4,69.35
20,2014,Interlagos,Williams,11,72.85
21,2014,Interlagos,AlphaTauri,9,71.85
22,2014,Interlagos,Haas,12,73.35
1,2014,Bahrain International Circuit,Mercedes,8,73.04
2,2014,Bahrain International Circuit,Mercedes,12,75.04
3,2014,Bahrain International Circuit,Red Bull,11,74.54
4,2014,Bahrain International Circuit,Red Bull,1,69.54
5,2014,Bahrain International Circuit,Ferrari,19,78.54
6,2014,Bahrain International Circuit,Ferrari,15,76.54
7,2014,Bahrain International Circuit,Aston Martin,6,72.04
8,2014,Bahrain International Circuit,Aston Martin,9,73.54
9,2014,Bahrain International Circuit,McLaren,16,77.04
10,2014,Bahrain International Circuit,McLaren,21,79.54
11,2014,Bahrain International Circuit,Alpine,7,72.54
12,2014,Bahrain International Circuit,Alpine,2,70.04
13,2014,Bahrain International Circuit,Alfa Romeo,4,71.04
14,2014,Bahrain International Circuit,Alfa Romeo,14,76.04
15,2014,Bahrain International Circuit,Haas,20,79.04
16,2014,Bahrain International Circuit,Haas,3,70.54
17,2014,Bahrain International Circuit,AlphaTauri,18,78.04
18,2014,Bahrain International Circuit,AlphaTauri,17,77.54
19,2014,Bahrain International Circuit,Williams,5,71.54
20,2014,Bahrain International Circuit,Williams,13,75.54
21,2014,Bahrain International Circuit,AlphaTauri,22,80.04
22,2014,Bahrain International Circuit,Haas,10,74.04
1,2014,Yas Marina,Mercedes,20,87.77
2,2014,Yas Marina,Mercedes,12,83.77
3,2014,Yas Marina,Red Bull,21,88.27
4,2014,Yas Marina,Red Bull,6,80.77
5,2014,Yas Marina,Ferrari,19,87.27
6,2014,Yas Marina,Ferrari,15,85.27
7,2014,Yas Marina,Aston Martin,5,80.27
8,2014,Yas Marina,Aston Martin,3,79.27
9,2014,Yas Marina,McLaren,8,81.77
10,2014,Yas Marina,McLaren,11,83.27
11,2014,Yas Marina,Alpine,17,86.27
12,2014,Yas Marina,Alpine,14,84.77
13,2014,Yas Marina,Alfa Romeo,9,82.27
14,2014,Yas Marina,Alfa Romeo,7,81.27
15,2014,Yas Marina,Haas,16,85.77
16,2014,Yas Marina,Haas,2,78.77
17,2014,Yas Marina,AlphaTauri,22,88.77
18,2014,Yas Marina,AlphaTauri,4,79.77
19,2014,Yas Marina,Williams,1,78.27
20,2014,Yas Marina,Williams,18,86.77
21,2014,Yas Marina,AlphaTauri,13,84.27
22,2014,Yas Marina,Haas,10,82.77
1,2014,Red Bull Ring,Mercedes,17,87.38
2,2014,Red Bull Ring,Mercedes,7,82.38
3,2014,Red Bull Ring,Red Bull,19,88.38
4,2014,Red Bull Ring,Red Bull,21,89.38
5,2014,Red Bull Ring,Ferrari,13,85.38
6,2014,Red Bull Ring,Ferrari,22,89.88
7,2014,Red Bull Ring,Aston Martin,3,80.38
8,2014,Red Bull Ring,Aston Martin,15,86.38
9,2014,Red Bull Ring,McLaren,16,86.88
10,2014,Red Bull Ring,McLaren,9,83.38
11,2014,Red Bull Ring,Alpine,12,84.88
12,2014,Red Bull Ring,Alpine,8,82.88
13,2014,Red Bull Ring,Alfa Romeo,18,87.88
14,2014,Red Bull Ring,Alfa Romeo,2,79.88
15,2014,Red Bull Ring,Haas,20,88.88
16,2014,Red Bull Ring,Haas,11,84.38
17,2014,Red Bull Ring,AlphaTauri,6,81.88
18,2014,Red Bull Ring,AlphaTauri,4,80.88
19,2014,Red Bull Ring,Williams,1,79.38
20,2014,Red Bull Ring,Williams,10,83.88
