Tracks,Location
Monza,Italy
Silverstone,UK
Spa-Francorchamps,Belgium
Suzuka,Japan
Monaco,Monaco
Circuit de Catalunya,Spain
Hungaroring,Hungary
Interlagos,Brazil
Bahrain International Circuit,Bahrain
Yas Marina,UAE
Red Bull Ring,Austria
Zandvoort,Netherlands
Imola,Italy
Hockenheim,Germany
Marina Bay,Singapore
Albert Park,Australia
Circuit of the Americas,USA
Shanghai,China
Sochi,Russia
Sepang,Malaysia
Istanbul Park,Turkey
Baku City Circuit,Azerbaijan
Las Vegas Street Circuit,USA
Miami International,USA
